brand,color,gender,category,season,rating,price
Skechers,Black,Male,Casual Shoes,Summer,6.8,12772.16
Under Armour,Blue,Female,Boots,Summer,9.1,3608.25
Nike,Green,Male,Formal Shoes,Winter,9.6,11751.0
Skechers,Blue,Female,Sneakers,Spring,3.9,6214.4
Puma,Gray,Female,Sandals,Summer,1.2,14644.93
Reebok,Orange,Male,Sandals,Winter,3.5,7038.0
Reebok,Yellow,Unisex,Running Shoes,Winter,5.7,11606.75
Nike,Red,Unisex,Sandals,All-Season,7.5,1792.23
Under Armour,Pink,Unisex,Running Shoes,Winter,6.5,19374.97
Nike,Red,Male,Running Shoes,Summer,2.1,6905.94
Reebok,Yellow,Unisex,Running Shoes,Winter,2.4,7036.38
Puma,Pink,Female,Running Shoes,Summer,4.8,883.65
Reebok,Brown,Male,Sneakers,All-Season,2.2,17980.39
Nike,Red,Male,Sandals,Winter,5.6,9887.3
Nike,Red,Male,Sandals,Spring,8.8,8761.64
Adidas,Green,Unisex,Sandals,Winter,3.7,12460.39
Nike,Black,Unisex,Sandals,Summer,7.0,17916.43
Nike,Yellow,Female,Sandals,All-Season,6.7,3801.12
New Balance,Green,Unisex,Sandals,Summer,2.9,9600.71
Fila,Blue,Unisex,Running Shoes,Winter,8.9,7398.93
Nike,Blue,Unisex,Running Shoes,All-Season,6.0,8727.88
Adidas,Orange,Male,Casual Shoes,Spring,9.5,4832.17
Under Armour,Red,Male,Sneakers,Winter,2.6,18425.3
Reebok,Brown,Unisex,Sandals,All-Season,7.4,9422.23
Fila,Black,Unisex,Boots,Winter,9.7,10957.85
Reebok,Yellow,Unisex,Running Shoes,All-Season,4.4,19915.53
Fila,Brown,Female,Sandals,Summer,7.0,10219.4
Nike,Yellow,Unisex,Boots,All-Season,7.3,5140.75
Fila,Black,Unisex,Loafers,Spring,7.8,18026.66
Under Armour,Yellow,Male,Running Shoes,Spring,1.6,2631.29
Reebok,Pink,Unisex,Sandals,Winter,6.5,2069.38
Puma,Yellow,Male,Sneakers,Spring,8.2,4360.5
Reebok,Blue,Male,Casual Shoes,Spring,1.9,12384.01
Fila,Yellow,Male,Sneakers,All-Season,6.0,8819.12
Reebok,Black,Female,Casual Shoes,Winter,3.4,10451.15
Nike,Orange,Female,Running Shoes,All-Season,8.6,14163.65
Nike,Orange,Unisex,Formal Shoes,Winter,1.9,6251.8
Nike,Yellow,Unisex,Loafers,All-Season,9.5,5008.49
Nike,Blue,Female,Formal Shoes,Summer,6.6,19414.14
Reebok,Black,Unisex,Formal Shoes,Winter,6.5,18474.23
Fila,Blue,Unisex,Formal Shoes,All-Season,3.8,1800.63
Reebok,Blue,Unisex,Casual Shoes,Winter,5.6,4217.57
Reebok,Pink,Unisex,Running Shoes,Summer,5.2,5855.66
Skechers,Red,Unisex,Loafers,Spring,7.5,13892.57
Reebok,Gray,Male,Loafers,Spring,8.9,10459.39
Nike,Red,Unisex,Sandals,All-Season,1.8,5300.21
Skechers,Black,Female,Boots,Spring,2.3,5332.05
Nike,White,Male,Formal Shoes,Spring,8.9,13807.5
Reebok,Gray,Male,Sneakers,All-Season,5.3,11710.79
Reebok,Green,Female,Running Shoes,Spring,7.8,2243.56
Reebok,Black,Female,Loafers,All-Season,5.4,18858.21
Puma,Gray,Female,Sneakers,Spring,3.9,6411.63
Nike,Brown,Male,Casual Shoes,Spring,4.8,17892.22
Fila,Green,Unisex,Boots,Summer,7.7,16721.26
Reebok,Pink,Female,Loafers,All-Season,8.3,19568.84
Reebok,Brown,Unisex,Sandals,Summer,6.0,8667.14
Reebok,Gray,Unisex,Loafers,All-Season,3.3,8609.81
Fila,Green,Male,Sandals,All-Season,2.0,11787.35
Reebok,Red,Female,Casual Shoes,Summer,6.6,8727.53
Nike,Yellow,Male,Boots,Winter,7.9,3785.13
Reebok,White,Unisex,Running Shoes,Summer,8.4,11745.85
Fila,Orange,Male,Sandals,All-Season,6.4,17901.18
Fila,Blue,Unisex,Sandals,Summer,2.6,16759.4
Reebok,Green,Female,Loafers,Spring,1.6,5220.58
Reebok,Red,Unisex,Sneakers,Summer,7.6,5315.72
Fila,Brown,Female,Casual Shoes,Spring,3.8,17414.98
Fila,Green,Male,Loafers,Summer,6.7,14185.61
Reebok,Red,Female,Sneakers,Summer,1.3,6852.39
Fila,Orange,Male,Loafers,Winter,7.7,1529.39
Reebok,Pink,Female,Formal Shoes,Summer,3.1,17832.26
Fila,Black,Unisex,Sneakers,Winter,7.8,9584.59
Reebok,Gray,Female,Loafers,All-Season,8.5,17730.9
Nike,Pink,Unisex,Casual Shoes,Winter,5.4,7960.15
Nike,Red,Female,Casual Shoes,Winter,5.4,12346.79
Fila,Yellow,Unisex,Sneakers,Spring,4.9,19956.06
Under Armour,Blue,Female,Sneakers,Summer,8.5,3054.35
Reebok,Orange,Male,Formal Shoes,Summer,4.5,16872.87
Reebok,Green,Male,Loafers,Winter,4.6,7240.89
Reebok,Green,Female,Loafers,Summer,5.0,8998.11
Reebok,Red,Unisex,Casual Shoes,Spring,7.0,11186.04
Nike,Red,Unisex,Running Shoes,Spring,4.2,13948.07
Reebok,Gray,Female,Sneakers,Winter,4.4,18234.51
Nike,Yellow,Unisex,Boots,Spring,5.7,4281.43
Nike,Brown,Unisex,Boots,All-Season,3.5,18408.96
Fila,Brown,Male,Casual Shoes,Summer,1.4,1998.41
Reebok,Orange,Unisex,Formal Shoes,Winter,3.0,8344.65
Reebok,Red,Female,Casual Shoes,Spring,7.1,8582.5
Reebok,Yellow,Unisex,Casual Shoes,Spring,5.3,4060.77
New Balance,Black,Female,Boots,Winter,9.0,7717.99
Adidas,Blue,Unisex,Sneakers,Winter,7.1,11877.17
Reebok,White,Female,Sandals,All-Season,3.1,10602.33
Reebok,Blue,Male,Loafers,Winter,7.2,717.22
Nike,Black,Unisex,Sneakers,Winter,9.1,18925.89
New Balance,Green,Unisex,Sneakers,Spring,7.5,18113.88
Reebok,White,Male,Running Shoes,Summer,1.7,11493.0
Reebok,Brown,Male,Loafers,Spring,3.4,10440.27
Nike,White,Female,Boots,Spring,7.7,9881.06
Fila,Brown,Female,Running Shoes,Summer,1.4,13226.57
Reebok,Gray,Female,Sneakers,Winter,3.5,1075.87
New Balance,White,Female,Sneakers,Winter,3.2,3763.76
Fila,Red,Male,Running Shoes,Summer,8.0,11946.2
Nike,Gray,Male,Sandals,Spring,9.5,2942.38
Reebok,Red,Male,Sandals,Winter,9.4,19587.26
Fila,Gray,Unisex,Boots,Spring,6.7,13095.45
Reebok,Blue,Female,Sandals,All-Season,1.4,2059.25
Fila,Gray,Female,Sneakers,Summer,6.2,12985.87
Under Armour,Green,Female,Formal Shoes,All-Season,5.6,6583.91
Fila,Red,Male,Sneakers,All-Season,5.9,1503.17
Reebok,Blue,Male,Casual Shoes,All-Season,3.8,2911.62
Reebok,White,Unisex,Loafers,Winter,2.1,14281.61
Reebok,Blue,Male,Loafers,Summer,6.2,5147.79
Reebok,Pink,Unisex,Sandals,Summer,8.0,7108.93
Under Armour,Red,Unisex,Formal Shoes,Summer,7.6,13240.3
Nike,Gray,Unisex,Casual Shoes,Spring,3.4,8278.88
Fila,Orange,Male,Formal Shoes,Spring,8.7,8657.63
Reebok,Brown,Unisex,Sandals,Winter,1.4,11091.05
Nike,Orange,Unisex,Boots,Summer,5.1,8446.13
Nike,Yellow,Male,Formal Shoes,Spring,2.5,6710.93
Reebok,Brown,Unisex,Sneakers,Winter,4.6,8624.36
Nike,Green,Unisex,Boots,Spring,1.4,10790.13
Reebok,Green,Male,Loafers,Spring,8.3,12336.53
Fila,Orange,Male,Sneakers,Summer,9.9,17908.34
Reebok,Black,Male,Loafers,Winter,3.4,11008.49
Reebok,Pink,Female,Running Shoes,All-Season,5.8,3242.82
Adidas,Yellow,Male,Formal Shoes,Winter,1.0,19059.49
Nike,White,Female,Casual Shoes,Spring,5.0,3292.97
Nike,Gray,Female,Sneakers,Spring,1.2,17429.57
Fila,White,Female,Sneakers,Winter,6.2,19819.31
Nike,Gray,Male,Running Shoes,All-Season,4.3,7047.22
Fila,Red,Male,Sandals,Winter,5.2,10048.73
Reebok,Pink,Male,Running Shoes,Winter,9.0,6059.41
Fila,Blue,Male,Sandals,All-Season,8.6,7399.67
Fila,Brown,Female,Loafers,Winter,4.8,7710.94
Reebok,Brown,Male,Boots,Summer,2.2,1934.46
Reebok,Orange,Unisex,Sandals,All-Season,3.9,11827.15
Reebok,Orange,Female,Formal Shoes,Spring,5.7,2353.24
Under Armour,Green,Female,Running Shoes,Spring,7.1,4788.85
Reebok,Blue,Unisex,Sneakers,All-Season,5.1,11330.74
Nike,Orange,Male,Casual Shoes,Summer,6.0,17034.08
Reebok,Red,Male,Loafers,Summer,5.2,3724.43
Nike,Gray,Unisex,Running Shoes,All-Season,5.6,630.94
Reebok,Pink,Unisex,Loafers,Summer,6.4,19637.1
Reebok,Green,Female,Running Shoes,All-Season,5.8,16313.07
Fila,Black,Unisex,Boots,All-Season,6.6,13199.36
Puma,Pink,Male,Sandals,Summer,4.3,19841.55
Fila,Pink,Female,Formal Shoes,Summer,4.4,12150.72
Reebok,Blue,Male,Sneakers,Spring,1.2,9094.55
Puma,Yellow,Male,Casual Shoes,All-Season,6.7,16549.18
Fila,Red,Male,Formal Shoes,Winter,3.4,6097.27
Reebok,Orange,Unisex,Boots,All-Season,6.1,862.62
Nike,Green,Female,Loafers,Spring,6.6,6787.13
New Balance,Red,Male,Casual Shoes,Winter,2.9,8434.28
Skechers,Blue,Female,Loafers,Spring,2.3,18805.58
Under Armour,Gray,Male,Sandals,All-Season,9.8,5239.29
Nike,Black,Female,Sandals,Winter,6.2,12703.93
Reebok,Green,Female,Running Shoes,All-Season,6.1,16838.6
Puma,White,Female,Casual Shoes,All-Season,4.6,15451.83
Under Armour,Yellow,Male,Casual Shoes,Summer,2.6,8646.92
Reebok,Blue,Unisex,Loafers,Summer,3.9,18335.36
Nike,Green,Male,Boots,All-Season,8.5,5650.38
Nike,White,Male,Formal Shoes,Winter,5.8,12268.67
Nike,Yellow,Male,Boots,All-Season,7.9,11884.56
Reebok,Pink,Unisex,Running Shoes,Summer,7.0,6505.42
Under Armour,Green,Female,Running Shoes,Spring,5.7,16862.12
Reebok,White,Male,Sneakers,Summer,4.4,15098.53
Skechers,Pink,Male,Sandals,Spring,7.0,11073.51
Fila,Black,Male,Formal Shoes,All-Season,2.2,11514.37
Nike,Brown,Male,Formal Shoes,All-Season,5.6,5260.0
Converse,Green,Unisex,Sandals,Spring,4.1,3264.46
Nike,Blue,Male,Loafers,Spring,4.4,2274.13
Under Armour,Yellow,Male,Sandals,Winter,9.8,5450.56
Adidas,Blue,Female,Sandals,Spring,9.6,4410.36
Reebok,Brown,Male,Casual Shoes,All-Season,7.4,2432.3
Puma,Pink,Female,Formal Shoes,Spring,5.0,6296.25
Nike,Green,Female,Sneakers,All-Season,2.1,2013.14
Reebok,Red,Female,Casual Shoes,All-Season,3.8,4485.86
Under Armour,Blue,Female,Sneakers,All-Season,9.6,17936.06
Reebok,Red,Female,Sandals,Spring,5.3,9364.37
Under Armour,Blue,Female,Sandals,Winter,4.7,2651.92
Nike,Orange,Unisex,Running Shoes,Winter,5.4,7754.76
Puma,Red,Female,Loafers,All-Season,9.6,14657.22
Puma,Black,Female,Loafers,All-Season,3.5,2459.04
Puma,Gray,Male,Running Shoes,Spring,7.4,12119.07
Nike,Brown,Unisex,Sandals,All-Season,2.4,5512.88
Fila,Orange,Female,Running Shoes,Spring,7.2,6471.64
Fila,Blue,Male,Running Shoes,All-Season,3.2,16130.72
Adidas,Orange,Unisex,Formal Shoes,Winter,6.5,9669.3
Nike,Blue,Unisex,Boots,Winter,5.6,13115.1
Adidas,Pink,Female,Boots,Spring,2.3,4828.31
Puma,Green,Male,Sneakers,Summer,6.3,10791.21
Fila,Pink,Male,Sandals,Summer,9.6,15576.83
Fila,White,Male,Sneakers,Spring,5.6,5794.72
Adidas,White,Female,Sandals,Spring,5.1,1186.9
Fila,Yellow,Unisex,Casual Shoes,Winter,5.5,14771.64
Puma,Green,Female,Sneakers,Spring,1.9,4610.58
Reebok,White,Female,Sandals,Winter,9.1,10713.1
Reebok,Blue,Unisex,Boots,Winter,3.7,13523.88
Under Armour,White,Female,Casual Shoes,All-Season,8.0,17765.6
Reebok,Orange,Unisex,Boots,Winter,4.3,7933.55
Reebok,Orange,Female,Casual Shoes,Summer,5.5,8503.79
Fila,Blue,Male,Boots,Spring,3.7,2141.82
Nike,Yellow,Female,Casual Shoes,All-Season,6.6,3626.1
Reebok,Gray,Female,Formal Shoes,Winter,1.5,6468.32
Converse,Brown,Unisex,Sandals,Winter,2.5,17042.63
Nike,Blue,Unisex,Formal Shoes,Summer,2.4,11597.42
Reebok,Orange,Male,Boots,Winter,6.5,19494.61
Reebok,Blue,Female,Sneakers,All-Season,5.8,9920.71
Reebok,Pink,Female,Loafers,All-Season,8.5,3262.29
Reebok,Yellow,Male,Sandals,Summer,7.7,709.18
Skechers,Pink,Unisex,Formal Shoes,Summer,5.5,18889.14
Reebok,White,Female,Sandals,Summer,2.6,6526.82
Under Armour,Pink,Unisex,Sandals,All-Season,6.4,6000.66
Under Armour,Blue,Unisex,Formal Shoes,Spring,7.3,13156.41
Puma,Brown,Female,Formal Shoes,Winter,6.5,1007.31
Reebok,Red,Female,Loafers,All-Season,3.4,552.92
Reebok,Black,Female,Loafers,All-Season,6.6,6630.71
Puma,Orange,Male,Sandals,Summer,9.4,12563.75
Reebok,Gray,Unisex,Formal Shoes,Summer,4.8,5642.43
Reebok,Gray,Male,Casual Shoes,Summer,3.9,17822.3
Fila,Black,Male,Sandals,Summer,9.2,4927.18
Under Armour,Yellow,Male,Casual Shoes,Spring,8.0,1917.77
Nike,Green,Male,Formal Shoes,Spring,8.6,7740.77
Nike,Black,Female,Loafers,Summer,9.4,4584.21
Fila,Orange,Unisex,Boots,Spring,1.5,12381.54
Fila,Blue,Male,Boots,Summer,3.1,5152.55
Reebok,Pink,Female,Formal Shoes,Summer,7.2,17499.59
Reebok,Black,Female,Sandals,Spring,2.1,8323.68
Nike,Gray,Female,Sandals,Summer,2.7,19133.12
Adidas,Red,Female,Boots,Summer,3.9,18046.82
Nike,Pink,Male,Formal Shoes,Summer,9.4,4285.54
Nike,Pink,Unisex,Boots,Summer,3.4,17793.4
Nike,Orange,Female,Casual Shoes,Summer,4.5,7162.63
Reebok,Yellow,Unisex,Running Shoes,Winter,4.4,4812.56
New Balance,Pink,Female,Loafers,Winter,6.1,15048.52
Reebok,Yellow,Male,Formal Shoes,Winter,9.6,12487.7
Fila,Black,Unisex,Formal Shoes,All-Season,6.4,9983.23
Fila,Brown,Male,Formal Shoes,Summer,4.6,5131.4
Reebok,Red,Male,Sneakers,Winter,6.8,6978.21
New Balance,Black,Unisex,Sneakers,All-Season,8.1,15516.63
Nike,White,Unisex,Boots,Spring,4.7,7191.94
Adidas,Brown,Female,Casual Shoes,Summer,2.2,8701.03
Reebok,Green,Unisex,Formal Shoes,Summer,2.7,19462.19
Reebok,White,Female,Boots,Winter,9.7,5258.92
Puma,Red,Female,Running Shoes,Spring,3.8,7416.31
Under Armour,White,Male,Running Shoes,Spring,6.1,14942.94
Converse,Yellow,Female,Sandals,Winter,6.3,17454.36
Skechers,Brown,Female,Boots,Spring,2.3,947.51
Nike,Pink,Unisex,Formal Shoes,All-Season,3.1,16545.93
Reebok,Red,Male,Sandals,Winter,1.2,7619.85
Reebok,Pink,Male,Casual Shoes,Winter,2.9,13255.07
Adidas,Orange,Unisex,Casual Shoes,Summer,5.3,8732.74
Nike,Blue,Female,Boots,Spring,1.1,8044.94
Fila,Orange,Unisex,Casual Shoes,Summer,4.0,17039.37
Nike,Green,Unisex,Sandals,All-Season,2.3,10188.29
Reebok,Gray,Unisex,Casual Shoes,Winter,4.6,9807.68
Reebok,Green,Male,Boots,Winter,1.3,12319.24
Puma,Black,Female,Casual Shoes,Winter,6.6,1847.05
Under Armour,Brown,Unisex,Running Shoes,Spring,8.8,6242.9
Reebok,Brown,Female,Formal Shoes,Winter,5.5,19578.33
Converse,Yellow,Unisex,Sneakers,All-Season,4.7,3192.76
Under Armour,White,Male,Loafers,Spring,7.7,19972.74
